,album,review
10,Reissue of the Week: Disclose,"

Reissue of the Week: Disclose


Published  September 30, 2015 By MRR


Categories

Reviews 


DISCLOSE – “Yesterday’s Fairytale, Tomorrow’s Nightmare” LP
This is a monumental record, even without considering its place as the final DISCLOSE LP released before Kawakami’s passing in 2007. His death casts an enduring pall, particularly evident here in the new liner notes from Stuart Schrader. While Schrader primarily writes about the ill-fated DISCLOSE / FRAMTID tour, it is a far more insightful, nuanced and touching read than that might seem. Neither romantic nor cynical, the tone is simply reflective and personal: here are his perceptions of Kawakami’s experience in the US, not a verdict but a single opinion. The epilogue of the story, over a decade later, remains ambivalent. Kawakami, despite his legacy, was still a human being irreducible to the mythos that lives on after him. The continued care and commitment shown by those that knew him and called him “friend” are a welcome palliative, showing a more grounded context to the DISCLOSE legend. In that respect, the royalties from this reissue are going to Kawakami’s mother. Of course, for the vast majority of listeners, as Schrader is mindful to point out, the context is far less immediately relevant than the record itself. For those who ignore or simplify DISCLOSE as just some DISCHARGE-worship: you are missing the forest for the trees because these trees look like some other damn trees you saw in a different fucking forest. It’s just not that simple, and especially not with this record. Schrader’s track-by-track notes are much more compelling and attentive than anything I can comparably muster, so I won’t attempt too much here. Yesterday’s Fairytale is the pinnacle of “Disbones”-era DISCLOSE: fuzzed-out D-beat with increasingly more metallic influence in the guitar riffs. Without forsaking any of the raw energy, this style set loose the true hypnotic potential of the unrelenting beat that found its logical conclusion in the closing track “Wardead,” a nearly ten-minute opus of swirling chaos and perpetual solos; a psychedelic disengagement with time, a sonic inertial assault that is simultaneously as stupefying as it is doggedly transcendent. Noise, not music. Best listened to with a foggy brain. RIP Kawakami, Kawakami forever. (Shit Zoo)
 (La Vida Es Un Mus)
 


"
11,Read a Book! A Wailing of a Town,"

Read a Book! A Wailing of a Town


Published  September 25, 2015 By Layla


Categories

Reviews 


A Wailing Of A Town: An Oral History of Early San Pedro Punk and More
Craig Ibarra
344 pgs • $20
End Fwy Press
endfwypress.bigcartel.com
Yet another punk related oral history. Can the collective punk bookshelves take another addition to the seeming endless array of “I was there” sprawl? Has punk overtaken the hippie nostalgia frenzy? The answer to both of those questions is yes! I would put this book up with Lexicon Devil, another oral history about SoCal punk, as one of the best encapsulations of the mechanics, dysfunctions and excitements of a punk scene I have read. A Wailing of a Town shows the other side of the coin. The kids who didn’t run away to Hollywood, but rather stayed in their working class Southern California harbor town and made their own music and constructed their own idea of punk and community out of what they had. Lexicon Devil was ostensibly a biography of Darby Crash, but it somehow felt more like Crash was the fulcrum for a sprawling documentary report on the growth, power and dysfunctions of LA punk. This book is an oral history of San Pedro punk, and D. Boon, the city’s favorite son, ends up being the heart and soul of the narrative. Where previously published punk oral histories have put across the hip/cool actions of the cognoscenti (Please Kill Me, We Got the Neutron Bomb, etc.), this one really communicates the true inspiring and powerful force that is getting caught up in underground DIY and making something on your own terms.
While I was reading this someone asked me if it was “a Minutemen bio”—since clearly nothing else of note happened in Pedro punk in this person’s mind! One of the cooler aspects of the book is that while the Minutemen rightfully get a huge chunk of the chapters devoted to their sound and ideas, the other people who shaped a scene are given as much weight, from supportive non-musical punkers who were there to witness events or took on the background shitwork through to the wild performance artists. You really get a sense of how the San Pedro take on punk emerged from the town and how it was shaped by the different economic and geographic realities. The different voices and perspectives in the book—the macho nihilistic surf jocks, the feminist working class women of color—all give this work a true feeling of representation, and make it a fun and wild read.
The fact that the Minutemen were one of the guiding forces of the Pedro punks meant that people looked at them as examples, and as a result started their own weird bands and made their own record labels that only put out their friends’ weird and/or generic bands. It was a constructive and encouraging scene, despite endless harassment from cops and jocks and angry anti-punk locals. The feeling that you get from listening to the Minutemen, the rough and tumble warmth in with the cold hard truth, really reflects the scene that they came up through and helped invent. On the evidence of this book, the creative, expressive and radical power embodied by their sound, from the crazed inventive music through to the impassioned lyrics, the needs of the working class and the power of Coltrane are endorsed with equal authority, shaped the San Pedro punk idea as one quite distinct from other Southern Californian scenes. Speaking of which, the chapters on Saccharine Trust are easily worth the price of admission. Paganicons is one of the wildest and most interesting LPs SST ever released, and despite the fact that many punks now revere Saccharine Trust, it still feels like they somehow haven’t gotten their due. It was really inspiring and sometimes hilarious reading about how they formed and the ideas behind the songs, the evolution of the band and their disparate poetic, Dada, No Wave and be-bop based influences.
Punk is a visual and visceral culture, and this book does a great job of putting across the aesthetics, the sights, scents and ideas of the random assortment of people that were drawn to it. The flyers, the fanzines, the insane apartments that intentionally resembled surrealist hamster cages…They had shows in the infamous repurposed Church featured in Decline of Western Civilization I, a German themed village hall that sounded like a weird Euro-Tiki bar-like space complete with a rotten waterfall and ski lodge like ambiance, a repurposed theater which also had avant-garde dance classes. You get a sense of the danger from violent audience members imported from Orange County and aggressive anti-punk locals and of course, the cops, all of which is such a part of the narrative of Southern California punk. You also get a sense of the creativity and resourcefulness of the Pedro punkers in figuring out how to work around all that aggression and darkness and make a scene work.
This book is one of the best accounts of punk I have read, the interviews and excerpts are exhaustive and cover the nihilistic and constructive, the intoxicating and the mundane. Its somewhat homespun aesthetic is misleading; this book was masterfully edited by Craig Ibarra. So many perspectives and takes on different events weave together to create a powerful, emotional narrative, it was an unputdownable ride—I read this from cover to cover in a mad consuming frenzy, but had to leave the last few chapters, the ones about D. Boon’s death, to read when I was alone at home, as I knew it would be devastating. It was. Reader, I wept. Unlike most artifacts from the past where it seems like all the cool stuff happened without you, in some other untouchable dimension, A Wailing of a Town ultimately makes you want to create something new and worthy in your own town and scene.
—Layla Gibbon




"
12,Reissue of the Week: Conflict,"

Reissue of the Week: Conflict


Published  September 24, 2015 By Grace Ambrose


Categories

Reviews 


CONFLICT – “Last Hour” LP
If there were any justice in this world, punks would think Tucson, Arizona, not London, England, when they heard the name CONFLICT. The superior American band released a demo tape and a single LP in the early ’80s and the record gets the reissue treatment here, complete with a deluxe 40-page booklet. This is absolutely essential for all fans of classic USHC—think the thrash of early TSOL with intelligible MacKaye-esque vocals overtop, except now Ian’s called Karen and she’s a queer Japanese-American woman singing about things a hell of a lot more important and interesting than straightedge and post-adolescent disaffection. Not that there’s anything wrong with anthems about being merely out of step—some of the greatest punk songs ever written are about nothing more than that!—but at a time when being a hardcore band in the United States meant being anti-Reagan and anti-establishment seemingly by default, the political specificity of Karen’s vitriol must have been refreshing. She wrote lyrics about human trafficking, nuclear war, femicide, and her lived experiences as a psychiatric nurse, a woman, and a minority, always direct and never preachy. The flyer reproductions in the enclosed glossy booklet reveal that CONFLICT played with everybody who came through Tucson—BLACK FLAG, HÜSKER DÜ, DIE KREUZEN, DEAD KENNEDYS, MINOR THREAT, DOA, CRUCIFUCKS, MEAT PUPPETS, the GUN CLUB, and TOXIC REASONS, to name just a few. This group should be a household name like the rest of them, but as we all know, history is rarely just. Also reproduced are two interviews with the group from the archives of the greatest punk fanzine on the planet (ahem), one done in their heyday and the other ten years after their dissolution, conducted by the late great Lance Hahn. Comes with a lyric sheet and photo insert. Get it. (GA)"
13,Record of the Week: Negative Scanner,"

Record of the Week: Negative Scanner


Published  September 23, 2015 By Distro


Categories

Reviews 


NEGATIVE SCANNER – LP
The brilliant promise of that first NEGATIVE SCANNER single was the way it oscillated between moody, off-kilter rhythmic trance and classic “Moon Over Marin”-style hookiness, and I guess they could have gone either way with their full-length. It seems like they mostly stuck with the latter, which was the one disappointment in my first go-around with this record. Maybe I’m just more rhythmically inclined, so don’t let my personal temperament steer you away. If anyone ever tells you that Chicago is a zero-tracks kind of town (everyone’s an expert since Martin moved away from the MRR compound), you can tune them in to “Would You Rather” (it’s incredible) or “Ivy League Asshole” after you name-check the EFFIGIES. Something about the way the guitarists play here is really forcing me to make my first WIPERS comparison in my career as an MRR reviewer (I was hoping to make it at least ten issues before this happened). Specifically it reminds of that eerie Youth of America-era open-chord type of sound, an under-tapped vein of inspiration. The beginning of “Forget It” has this incessant chime that gets cut through by an underlying guitar line that sounds like a cello or something. The winding and cresting surf guitar riff that opens up “Saturday Night and Sunday Morning” is just sick; it’s raw, it’s classic. One thing really ties it together here: Rebecca Valeriano-Flores is an utterly devastating lyricist with a powerfully understated delivery, a tuff singer. All you other so-called songsmiths out there: step it up. More and more uncanny details come up as I spend more time with these songs. This one is either a winter record dropped in the wrong time of year or a summer record for that point late at night in a hot city when you realize you can’t stand it outside any longer. Backed. (Eli Wald)
(Trouble in Mind)


"
14,Reissue of the Week: Reatards,"

Reissue of the Week: Reatards


Published  September 17, 2015 By MRR


Categories

Reviews 


REATARDS – “Grown Up, Fucked Up” LP
When this record was originally issued by Empty Records back in 1999, it felt like the REATARDS had already been around for a decade, at least (their first single is from ’97). The band seemed to jump into existence already in “mature phase,” which is the benefit of having a true maniac creative like Jay crafting your songs. It’s great to now slide back into the shitty, shitty, shitty, shitty, shitty, shitty pile of emotional bile that the best REATARDS tracks evoke, and realize the ability it confers, upon first needle drop, to discern fake punk from the real thing. It’s always going to be present on this record, the best full-length Jay Reatard ever pulled off. So, it still holds up as one of the ten best punk LPs of the decade, and the best ’90s party bummer LP I own outside of the BAD TIMES LP, and hey! Look who’s all over that fucker too. (Ryan Wells)
(Goner)


"
15,Reissue of the Week: Happy,"

Reissue of the Week: Happy


Published  September 10, 2015 By MRR


Categories

Reviews 


HAPPY? – “Anger” EP 
This felt vaguely familiar upon first listen. That feeling turned into deja vu and I had no idea why. The previous day I had been thinking about leaving San Francisco after more than a quarter of a century and was going over all the wonderful Bay Area bands I had seen over the years and thinking back to the early days of powerviolence. Ah ha! Got it! This 7” was familiar because I had heard the vocalist many times before. HAPPY? was a Redwood City, CA band that I don’t remember ever releasing anything or playing out much. These tracks were recorded back in 1993 and the band contains members that went on to play in bands such as SPAZZ, FUNERAL SHOCK, BUG PEDALS, CANDY MUSCLE, and POWER PELLUT along with a few others. What you get is raw hardcore that is full of energy. It sounds like it was recorded live in a garage and the songs are sort of intentionally sloppy. These tracks were originally available on a cassette. “Biggot” is a bit faster and tighter and I love the vocals. This is a great historical release if you’re interested in some fast hardcore with vague sounds of the things to come from Redwood City. Think of it as a precursor to powerviolence. (Mike Howes)
(Flinch Lumin)

"
16,Record of the Week: Nervosas,"

Record of the Week: Nervosas


Published  September 9, 2015 By Greg


Categories

Reviews 


NERVOSAS – LP
Oh my fucking god, I wish this record had a lyric sheet! NERVOSAS returns with the always-dreaded second LP and manages to not blow it. You can chalk this success up to solid songwriting, over the top musicianship from every member and a truckload of energy in every song. They do that dark punk / chorus pedal / WIPERS-influenced thing super well…but don’t call it goth! They manage to make every song interesting and memorable. I’ve always thought that this band was excellent live, but left something to be desired when it came to their recordings, but this LP has me changing my tune. If you’re feeling fatigued from the current onslaught of dark punk that might as well be lumped in with JOY DIVISION and wanna just get back to losing your mind to sick ass punk bands, you’ll wanna track down this LP. No weak moments. All tracks. Plus, their drummer used to play in GAUNT sometimes and he’s probably one of the best drummers in punk today. (Greg Harvester)
(Dirtnap)
Nervosas – s/t by Dirtnap Records

"
17,Record of the Week: Basement Benders,"

Record of the Week: Basement Benders


Published  September 1, 2015 By MRR


Categories

Reviews 


BASEMENT BENDERS – “Native Tongues” EP
Sometimes when you hear that a handful of your favorite music-makers are joining hands and starting a new band it turns into exactly what you wanted to hear and it’s fucking fantastic. Sometimes, as we all know, it’s embarrassing and unspeakably bad. This record is great! Sorry for the scare. This has members of SEXY, HIDDEN SPOTS, THIS BIKE IS A PIPE BOMB, TULSA, FUTURE VIRGINS and (as you probably guessed) about a thousand other amazing bands from Chattanooga and Asheville. For the abundant haters of region rock around here, I think this is a good spot to try to get your head out of your ass. For the lovers of the genre, well, you probably ordered this EP long ago. I heard about this band and I checked out the demo on that little internet thing that everyone is doing. To be honest, I just didn’t get the hype. I thought maybe I was biased and maybe butt-hurt and bitter, but these re-workings are really fucking great. Angry, pretty, rough, tight, and well thought-out. The first song might be my favorite song I’ve ever heard Ashley play, and I already thought he was embarrassingly good. Get it! (DZ)
(Drunken Sailor)
Basement Benders EP by Basement Benders

"
18,Record of the Week: C.C.T.V,"

Record of the Week: C.C.T.V


Published  August 25, 2015 By Layla


Categories

Reviews 


C.C.T.V – “Quiet” EP
The coolest record of the year so far at least to these ears, total nervous frantic post-punk created in the furtive fertile NW Indiana scenery…The songs are tightly wound fraught invocations of the indignities of modern life, anxiety and paranoia, everything sounds like it was recorded on a boombox at the wrong speed adding to the strange feeling of otherworldliness, like walking through a dead mall full of fake plants and broken ideas. It’s perfectly retro, really sounds like a recently excavated secret basement from the 1979 New Wave/punk collision, but it’s from now, and is fresh yet eternal. The sputtering drums and stumbling bass with that sick dollar store guitar sound, while the coolest vocalist lists her demands and concerns. It’s just so fuckin rad, like SU TISSUE fronting DEVO at their most hardcore…I think it sold out, but a repress is on the way. (Layla Gibbon)
(Lumpy)


"
19,Reissue of the Week: 92 – “Cenzura/Cukrarnar”,"

Reissue of the Week: 92 – “Cenzura/Cukrarnar”


Published  August 19, 2015 By Lydiya


Categories

Reviews 


92 – “Cenzura/Cukrarnar”
The travel back in time continues! Next stop: Ljubljana, Slovenia circa 1978. Like many bands from former Yugoslavia, 92—who get their name from the police’s phone number, the equivalent to 911 in the US—fuse new wave sounds with reconstructed regional and traditional musical elements, all filtered through punk with a keyboard twist. 92 were informed by, but not dependent on or limited to, bands such as the CLASH, SEX PISTOLS and STONES, and concepts such as nihilism, Dadaism and social critique. Their logo of the number 92 inside a triangle charms and perplexes me despite its simplicity. This results in upbeat tracks with layers of choppy and grazing guitars, dancey drums alongside swelling bass, and soulful, raw organ riffs haunting the whole thing. The lyrics are critical and sharp. “Cukrarnar” (“Sugar Works Man”) tells the story of a “raged vagrant on the street […], he’s dirty and full of trash, in sugar works every night he spends, but then he wakes up on the bench.” “Cenzura,” which discusses the issue of state censorship, is slightly darker, with its dense opening riff and staccato keyboards. “Basically you corrected everything on your own.” The keys are wonderfully expressive, tying this whole concept together in a unique manner; at times sounding almost like a child’s melodica, at others more like a breezy church organ, or carrying the frenetic beat in an almost accordion-at-the-fair fashion. Their collected works LP, which was released in 2013 also by NE! Records and reviewed in these pages, is definitely worth checking out if you have an interest in early European punk, but this 45 works as an excellent introduction to this extraordinary band. Two tracks that are equal parts vibrant demonstration as they are creative exuberance. As always, comes in a beautiful packaging, with lots of pictures and translated lyrics. Check out their interview in MRR #378 and hvala NE! Records for doing such a great job! (Lydiya)
(NE!)

"
20,Record of the Week: Andy Human and the Reptoids,"

Record of the Week: Andy Human and the Reptoids


Published  August 18, 2015 By Distro


Categories

Reviews 


ANDY HUMAN AND THE REPTOIDS — LP
“Reptoid Rock Revenge” is the motto on the collage/lyric sheet. How and by whom were they slighted? The answers may be in Fortean Times rather than these pages. I, however, can tell you that so much of what makes this record great could have gone terribly in lesser hands: saxophones, synthesizers, rhyming “insides” with “intestines”. It all comes together in the hands of ANDY HUMAN, rocker and composer. Some tracks toe the line of Boogaloo palatability, but there’s an attention to detail and careful application of sheer noise all over here, the watermark of a dedicated stylist. The production here is polished enough to let the static and atonal saxophone-wailing stand out. High fidelity recording works to a band’s favor for once. Then again I seriously think the internet-using public would flip out if this was recorded on a Tascam 414 and if everyone in the band was 5-10 years younger. Perhaps the world will appreciate this record after all, though we know too well how cruel America’s tastes and ultimate fate can be. But seek out “I Got Soul” if you need a sample; rarely since Rock’n’Roll Animal have punk desperation and glam virtuosity come together in such a frothy eruption. I’d buy seven copies of this record if I could afford it, but I can’t. Anyway, this record is one of the two most assertive statements on having no money in the city to come in this month. Some react to late capitalism in urban America by withdrawing; some stick around to try their hand at outplaying, outsmarting, and outlasting the suddenly very late night. Hand them the keys to the studio. (Eli Wald)
(S-S)
Andy Human & The Reptoids (taste sampler) by Andy Human & The Reptoids

"
